filename,success,start_time,end_time
source/analysis/plots/plot_educ_exp_gdp.py,1,2026-07-27 10:12:12,2026-07-27 10:12:13
source/analysis/plots/plot_gdp_educ_exp.py,1,2026-07-27 10:12:13,2026-07-27 10:12:14
source/analysis/regressions/gdp_vs_educ_logs.m,1,2026-07-27 10:12:14,2026-07-27 10:12:33
source/analysis/regressions/gdp_vs_educ_panel.R,1,2026-07-27 10:12:35,2026-07-27 10:12:36
source/analysis/top_gdp/top_gdp_table.py,1,2026-07-27 10:12:37,2026-07-27 10:12:37
source/analysis/top_gdp/top_gdp_value.py,1,2026-07-27 10:12:36,2026-07-27 10:12:37
source/derived/wb_clean/build.py,1,2026-07-27 10:12:11,2026-07-27 10:12:11
source/derived/wb_clean/build_panel.do,1,2026-07-27 10:12:33,2026-07-27 10:12:35
source/derived/wb_clean/takelogs.py,1,2026-07-27 10:12:11,2026-07-27 10:12:12
source/paper/TemplateLyx.lyx,1,2026-07-27 10:12:37,2026-07-27 10:12:41
source/paper/TemplateTex.tex,1,2026-07-27 10:12:41,2026-07-27 10:12:49
source/tables/top_gdp.lyx,1,2026-07-27 10:12:37,2026-07-27 10:12:37
source/talk/TemplateSlides.tex,1,2026-07-27 10:12:54,2026-07-27 10:12:58
